name,type,address
돌깨마을 맷돌순두부 잠실신천점,두부요리,서울특별시 송파구 잠실동 177-7
백석,돼지고기구이,서울특별시 송파구 잠실동 181 동신빌딩 103호
나무수,이탈리아음식,서울특별시 송파구 잠실동 178 잠실M타워 나무수
Restaurant RIPE,한식,서울특별시 강남구 삼성동 169-8 9층
네네치킨 잠실새내역점,"치킨,닭강정",서울특별시 송파구 잠실동 19-9 잠실파인애플상가 지하
한국계,한식,서울특별시 송파구 잠실동 177-5
짱꼬집,한식,서울특별시 송파구 잠실동 185-12
봉추찜닭 잠실새내점,찜닭,서울특별시 송파구 잠실동 177-7 2층
사시미 신천본점,생선회,서울특별시 송파구 잠실동 191-7
맥호프 잠실본점,"맥주,호프",서울특별시 송파구 잠실동 179-1 1층 맥호프
이차돌 신천점,소고기구이,서울특별시 송파구 잠실동 192
이태리양조장 잠실본점,"맥주,호프",서울특별시 송파구 잠실동 180-9 1층
요리하는남자,이탈리아음식,서울특별시 송파구 잠실동 180-9 반석빌딩 지하 1층
야키토리 로만,이자카야,서울특별시 송파구 잠실동 182 1층
탄탄면공방 파르나스몰점,아시아음식,서울특별시 강남구 삼성동 159-8 파르나스타워 지하 1층 탄탄면공방
조개창고 신천점,조개요리,서울특별시 송파구 잠실동 191-1 은성빌딩 3층
비엘라,"스파게티,파스타전문",서울특별시 송파구 잠실동 184-2
달래해장 잠실새내점,한식,서울특별시 송파구 잠실동 190-2 1층
동강,중식당,서울특별시 강남구 삼성동 169-6
윤재갑양심칼국수,"칼국수,만두",서울특별시 송파구 잠실동 22-6 리센츠상가 지하1층 22~24호
아궁이왕돌구이,"육류,고기요리",서울특별시 송파구 잠실동 178-5 1층 아궁이 왕돌구이
허머스키친,아시아음식,서울특별시 강남구 삼성동 159-8 파르나스몰 지하 1층 F-26호
BBQ잠실엘스점,"치킨,닭강정",서울특별시 송파구 잠실동 19-9 지하1층
고봉민김밥인 잠실신천점,분식,서울특별시 송파구 잠실동 181-6 동성빌딩1층
엄마손칼국수,"칼국수,만두",서울특별시 송파구 잠실동 19-9 지하1층 a-44호
샐러디아 삼성점,"다이어트,샐러드",서울특별시 강남구 삼성동 169
잭슨피자 잠실본점,피자,서울특별시 송파구 잠실동 175-4 잠실월드메르디앙 103호
맥도날드 신천점,햄버거,서울특별시 송파구 잠실본동 181-9
푸세울닭,닭요리,서울특별시 강남구 삼성동 168
평양만두,한식,서울특별시 송파구 잠실동 184-3 1층 평양만두
성가네큰집추어탕,추어탕,서울특별시 강남구 삼성동 170-2 남해빌딩
도스타코스 잠실배달점,"멕시코,남미음식",서울특별시 송파구 잠실동 19-9 파인애플상가 지하1층 51호 도스타코스
고래즉석떡볶이,떡볶이,"서울특별시 송파구 잠실동 19-9 파인애플상가 지하 1층 A-2, 3호"
33떡볶이 잠실엘스점,33떡볶이,서울특별시 송파구 잠실동 19-9 잠실엘스아파트 파인애플상가 1층 35호
동경,돈가스,서울특별시 송파구 잠실동 19-9 파인애플상가 지하1층
몽키뮤직타운 잠실새내역점,유흥주점,서울특별시 송파구 잠실동 181-2 성진빌딩 지하 1층
담산 잠실새내점,한식,서울특별시 송파구 잠실동 195 1층 101호
신라스테이 삼성 카페,뷔페,서울특별시 강남구 삼성동 168-3 신라스테이 삼성 20층
오마뎅 엘스점,분식,서울특별시 송파구 잠실동 19-9 파인애플상가 1층 A35-1호
펍휘트니,"맥주,호프",서울특별시 송파구 잠실동 180-1
