name,address
스타벅스 구로고척점,서울특별시 구로구 고척동 72-59 외 6필지
데일리스위츠,서울특별시 구로구 고척동 76-28 1층 데일리스위츠
얌얌브레드 고척점,서울특별시 구로구 고척동 62-134
투썸플레이스 동양미래대점,서울특별시 구로구 고척동 52-217
빵야빵야,서울특별시 구로구 고척동 50-92 1층 빵야빵야
커피공화국,서울특별시 구로구 고척동 173-16 1층
디저트39 구로헤리움점,서울특별시 구로구 고척동 76-14 1층 106호
메가MGC커피 동양미래대학점,서울특별시 구로구 고척동 52-197
와플대학 동양미래대캠퍼스,서울특별시 구로구 고척동 76-180
아마스빈 동양미래대점,서울특별시 구로구 고척동 76-139
매머드익스프레스 동양미래대점,서울특별시 구로구 고척동 76-88
이디야커피 동양미래대학점,서울특별시 구로구 고척동 52-201
컴포즈커피 동양미래대학점,서울특별시 구로구 고척동 76-153
이디야커피 고척스카이돔점,서울특별시 구로구 고척동 76-160
제주몰빵 동양미래대점,서울특별시 구로구 고척동 62-160 8호관 2층
트리플에이커피 고척점,서울특별시 구로구 고척동 85-18 1층(고척동)
위넌스터디카페 고척점,서울특별시 구로구 고척동 72-7
파리바게뜨 고척시장점,서울특별시 구로구 고척동 46-66 1층
메가MGC커피 구로고척시장점,서울특별시 구로구 고척동 51-18
어벤더치 동양미래대학점,서울특별시 구로구 고척동 76-153
킹 COFFEE BEEN,서울특별시 구로구 고척동 52-340 1층 킹커피빈 카페
설빙 구로고척점,서울특별시 구로구 고척동 172-35
이디야커피 메르디앙고척점,서울특별시 구로구 고척동 343 고척월드메르디앙
커피온리 동양미래대점,서울특별시 구로구 고척동 76-137
빽다방 동양미래대점,서울특별시 구로구 고척동 76-181
이디야커피 동양대점,서울특별시 구로구 고척동  52-200
24시무인카페아이스크림 구로고척점,서울특별시 구로구 고척동 57-34
어쩔수없지,서울특별시 구로구 고척동 52-383 1층 103호
한국영파머스클럽 로컬푸드&카페,서울특별시 구로구 고척동 51-18
오늘제빵소,서울특별시 구로구 고척동 50-48
마마스,서울특별시 구로구 고척동 72-7 문화골든타워 9층
커피밤 로스터리,"서울특별시 구로구 고척동 103-4 가동 지층 B134호 그린상가 비 134( 고척동, 고척산업용품종합상가)"
허니빙수,서울특별시 구로구 고척동 50-92
마더파이앤쿠키,서울특별시 구로구 고척동 76-55 우성현대아파트 상가동 203호
쉼터,서울특별시 구로구 고척동 73-3
젤라트리,서울특별시 구로구 고척동 63-9
토프레소 고척동점,서울특별시 구로구 고척동 50-27
여미핫도그앤커피,서울특별시 구로구 고척동 63-10
Grinner,서울특별시 구로구 고척동 76-368
다옴카페,서울특별시 구로구 고척동 73-3 2동 2층 55호
